genome	gtdb_taxopath	gtdb_fastani_reference	genbank_assembly
MMP09407862	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp002082305	gtdb:GCA_002082305.1	insdc.gca:GCA_003973175.1
MMP09407861	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146		insdc.gca:GCA_003973205.1
MMP09407860	d__Bacteria;p__Aquificota;c__Aquificae;o__Hydrogenothermales;f__Hydrogenothermaceae		insdc.gca:GCA_003978485.1
MMP09407859	d__Bacteria;p__Aquificota;c__Aquificae;o__Hydrogenothermales;f__Hydrogenothermaceae		insdc.gca:GCA_003978535.1
MMP09407858	d__Bacteria;p__Aquificota;c__Aquificae;o__Hydrogenothermales;f__Hydrogenothermaceae		insdc.gca:GCA_003978555.1
MMP09407857	d__Bacteria;p__Aquificota;c__Aquificae;o__Hydrogenothermales;f__Hydrogenothermaceae		insdc.gca:GCA_003978565.1
MMP09407855	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia		insdc.gca:GCA_003973245.1
MMP09407854	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales		insdc.gca:GCA_003973265.1
MMP09407853	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__4572-123		insdc.gca:GCA_003973275.1
MMP09407852	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae		insdc.gca:GCA_003973285.1
MMP09407851	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum betae	gtdb:GCA_003193925.1	insdc.gca:GCA_003973295.1
MMP09407850	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__UBA2778;g__UBA1147;s__UBA1147 sp002311315	gtdb:GCA_002311315.1	insdc.gca:GCA_003978585.1
MMP09407849	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas sp002685915	gtdb:GCA_002685915.1	insdc.gca:GCA_003978615.1
MMP09407848	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas sp002685915	gtdb:GCA_002685915.1	insdc.gca:GCA_003978655.1
MMP09407847	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55		insdc.gca:GCA_003973335.1
MMP09407846	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA8438;g__UBA8438		insdc.gca:GCA_003973365.1
MMP09407842	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae		insdc.gca:GCA_003973585.1
MMP09407841	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda		insdc.gca:GCA_003973595.1
MMP09407840	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__CG1-02-35-72		insdc.gca:GCA_003973375.1
MMP09407839	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146		insdc.gca:GCA_003973385.1
MMP09407838	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__GCF1875585;s__GCF1875585 sp001547755	gtdb:GCF_001547755.1	insdc.gca:GCA_003973615.1
MMP09407835	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa		insdc.gca:GCA_003978825.1
MMP09407834	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae		insdc.gca:GCA_003978695.1
MMP09407833	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae		insdc.gca:GCA_003978685.1
MMP09407832	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae		insdc.gca:GCA_003978755.1
MMP09407831	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae		insdc.gca:GCA_003978855.1
MMP09407830	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AG-414-E02		insdc.gca:GCA_003973395.1
MMP09407829	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AG-414-E02		insdc.gca:GCA_003973405.1
MMP09407828	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AG-414-E02		insdc.gca:GCA_003973465.1
MMP09407827	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AG-414-E02		insdc.gca:GCA_003973605.1
MMP09407826	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales		insdc.gca:GCA_003973515.1
MMP09407825	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002746355	gtdb:GCA_002746355.1	insdc.gca:GCA_003973625.1
MMP09407824	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002746355	gtdb:GCA_002746355.1	insdc.gca:GCA_003973495.1
MMP09407823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Marivirga		insdc.gca:GCA_003973485.1
MMP09407822	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1556		insdc.gca:GCA_003973505.1
MMP09407820	d__Bacteria;p__Aquificota;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Aquifex		insdc.gca:GCA_003978945.1
MMP09407819	d__Bacteria;p__Aquificota;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Aquifex		insdc.gca:GCA_003978875.1
MMP09407818	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii	gtdb:GCF_000172635.2	insdc.gca:GCA_003978885.1
MMP09407817	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp002313585	gtdb:GCA_002313585.1	insdc.gca:GCA_003973685.1
MMP09407816	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1		insdc.gca:GCA_003973545.1
MMP09389153	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella		insdc.gca:GCA_003362725.1
MMP09389147	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum		insdc.gca:GCA_003666345.1
MMP09389144	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum		insdc.gca:GCA_003666325.1
MMP09389142	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum		insdc.gca:GCA_003666335.1
MMP09389140	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum		insdc.gca:GCA_003666385.1
MMP09389114	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	gtdb:GCF_001461825.1	insdc.gca:GCA_003417765.1
MMP09388146	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris_I	gtdb:GCF_003226555.1	insdc.gca:GCA_003226555.1
MMP09386782	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__SM1701;s__SM1701 sp003234935	gtdb:GCF_003234935.1	insdc.gca:GCA_003234935.1
MMP09381310	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__CA97-1460		insdc.gca:GCA_003574475.1
MMP09381308	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Caedibacter		insdc.gca:GCA_003574425.1
MMP09381170	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Fangia		insdc.gca:GCA_003574485.1
MMP09377739	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas		insdc.gca:GCA_003362755.1
MMP09377736	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mesonia;s__Mesonia sp003233725	gtdb:GCF_003233725.1	insdc.gca:GCA_003233725.1
MMP09370719	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius		insdc.gca:GCA_003605575.1
MMP09355241	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_B;s__Prochlorococcus_B marinus_A	gtdb:GCA_003208055.1	insdc.gca:GCA_003208055.1
MMP09355240	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_B;s__Prochlorococcus_B marinus_B	gtdb:GCF_000012465.1	insdc.gca:GCA_003208065.1
MMP09355200	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__X-1125		insdc.gca:GCA_003426055.1
MMP09298635	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudooceanicola_A;s__Pseudooceanicola_A sp003313245	gtdb:GCA_003313245.1	insdc.gca:GCA_003313245.1
MMP09298609	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50		insdc.gca:GCA_003942085.1
MMP09291741	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera_A;s__Salinisphaera_A halophila	gtdb:GCF_003260285.1	insdc.gca:GCA_003260285.1
MMP09288163	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__DB1;s__DB1 sp003249165	gtdb:GCA_003249165.1	insdc.gca:GCA_003249165.1
MMP09288162	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__SZUA-318;s__SZUA-318 sp003248075	gtdb:GCA_003248075.1	insdc.gca:GCA_003250775.1
MMP09288161	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__DDH964		insdc.gca:GCA_003250785.1
MMP09288160	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalobacterales;f__Thiohalobacteraceae;g__UBA9214		insdc.gca:GCA_003249185.1
MMP09288159	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__SZUA-611;s__SZUA-611 sp003249215	gtdb:GCA_003249215.1	insdc.gca:GCA_003249215.1
MMP09288158	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SZUA-448;s__SZUA-448 sp003249225	gtdb:GCA_003249225.1	insdc.gca:GCA_003249225.1
MMP09288157	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__SZUA-609;s__SZUA-609 sp003249255	gtdb:GCA_003249255.1	insdc.gca:GCA_003249255.1
MMP09288156	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__UBA5339;s__UBA5339 sp003249275	gtdb:GCA_003249275.1	insdc.gca:GCA_003249275.1
MMP09288155	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__OLB19		insdc.gca:GCA_003250815.1
MMP09288154	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae		insdc.gca:GCA_003249315.1
MMP09288153	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__SZUA-605;g__SZUA-605;s__SZUA-605 sp003250835	gtdb:GCA_003250835.1	insdc.gca:GCA_003250835.1
MMP09288152	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__OLB19		insdc.gca:GCA_003250855.1
MMP09288151	d__Bacteria;p__Binatota;c__Binatia;o__UBA1149		insdc.gca:GCA_003249295.1
MMP09288150	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina		insdc.gca:GCA_003249335.1
MMP09288149	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__GCA-2720935;g__SZUA-601;s__SZUA-601 sp003250865	gtdb:GCA_003250865.1	insdc.gca:GCA_003250865.1
MMP09288148	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales		insdc.gca:GCA_003250895.1
MMP09288147	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2294;g__UBA2294		insdc.gca:GCA_003250915.1
MMP09288146	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SZUA-378		insdc.gca:GCA_003250935.1
MMP09288145	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium		insdc.gca:GCA_003249355.1
MMP09288144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3824		insdc.gca:GCA_003249365.1
MMP09288143	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas		insdc.gca:GCA_003249395.1
MMP09288142	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionicimonas		insdc.gca:GCA_003250945.1
MMP09288141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales		insdc.gca:GCA_003249415.1
MMP09288140	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__SZUA-592;s__SZUA-592 sp003250975	gtdb:GCA_003250975.1	insdc.gca:GCA_003250975.1
MMP09288139	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21		insdc.gca:GCA_003249435.1
MMP09288138	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911		insdc.gca:GCA_003249455.1
MMP09288137	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__SZUA-254;g__SZUA-254;s__SZUA-254 sp003235555	gtdb:GCA_003235555.1	insdc.gca:GCA_003249475.1
MMP09288136	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales		insdc.gca:GCA_003249495.1
MMP09288135	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides graminisolvens	gtdb:GCF_000428125.1	insdc.gca:GCA_003249505.1
MMP09288134	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae		insdc.gca:GCA_003249535.1
MMP09288133	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae		insdc.gca:GCA_003250995.1
MMP09288132	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__SZUA-584;g__SZUA-584;s__SZUA-584 sp003249555	gtdb:GCA_003249555.1	insdc.gca:GCA_003249555.1
MMP09288131	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae		insdc.gca:GCA_003249565.1
MMP09288130	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__SZUA-582;s__SZUA-582 sp003251015	gtdb:GCA_003251015.1	insdc.gca:GCA_003251015.1
MMP09288129	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae		insdc.gca:GCA_003251035.1
MMP09288128	d__Bacteria;p__Myxococcota;c__Polyangia;o__HGW-17;f__HGW-17;g__SZUA-580;s__SZUA-580 sp003249585	gtdb:GCA_003249585.1	insdc.gca:GCA_003249585.1
MMP09288127	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-544		insdc.gca:GCA_003251055.1
MMP09288126	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__SZUA-584;g__SZUA-584		insdc.gca:GCA_003251075.1
MMP09288125	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23		insdc.gca:GCA_003249615.1
MMP09288124	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__Propionivibrio sp003249625	gtdb:GCA_003249625.1	insdc.gca:GCA_003249625.1
MMP09288123	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__SZUA-575 sp003249645	gtdb:GCA_003249645.1	insdc.gca:GCA_003249645.1
MMP09288122	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae		insdc.gca:GCA_003249675.1
MMP09288121	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__UBA12037		insdc.gca:GCA_003249705.1
MMP09288120	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547		insdc.gca:GCA_003249695.1
MMP09288119	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__MGML01		insdc.gca:GCA_003249735.1
MMP09288118	d__Bacteria;p__Desulfobacterota;c__BSN033;o__SM23-61;f__SM23-61		insdc.gca:GCA_003249755.1
MMP09288117	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__UBA2284 sp003249785	gtdb:GCA_003249785.1	insdc.gca:GCA_003249785.1
MMP09288116	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233		insdc.gca:GCA_003249775.1
MMP09288115	d__Bacteria;p__Planctomycetota;c__SZUA-567;o__SZUA-567;f__SZUA-567;g__SZUA-567;s__SZUA-567 sp003249795	gtdb:GCA_003249795.1	insdc.gca:GCA_003249795.1
MMP09288114	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae		insdc.gca:GCA_003249835.1
MMP09288113	d__Bacteria;p__Firmicutes_A;c__Mahellia;o__Caldicoprobacterales		insdc.gca:GCA_003249865.1
MMP09288112	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__SZUA-500		insdc.gca:GCA_003249855.1
MMP09288111	d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA9160		insdc.gca:GCA_003249895.1
MMP09288110	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA6796;s__UBA6796 sp002452815	gtdb:GCA_002452815.1	insdc.gca:GCA_003249915.1
MMP09288109	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5342;g__SZUA-561;s__SZUA-561 sp003249935	gtdb:GCA_003249935.1	insdc.gca:GCA_003249935.1
MMP09288108	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__Bact-19;s__Bact-19 sp003249955	gtdb:GCA_003249955.1	insdc.gca:GCA_003249955.1
MMP09288107	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906		insdc.gca:GCA_003249975.1
MMP09288106	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__FEN-1219		insdc.gca:GCA_003249995.1
MMP09288105	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__FEN-1219		insdc.gca:GCA_003250015.1
MMP09288104	d__Bacteria;p__Calditrichota;c__Calditrichia;o__RBG-13-44-9		insdc.gca:GCA_003251095.1
MMP09288103	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum		insdc.gca:GCA_003250025.1
MMP09288102	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__UASB124		insdc.gca:GCA_003251115.1
MMP09288101	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__UBA6911		insdc.gca:GCA_003251135.1
MMP09288100	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439		insdc.gca:GCA_003250055.1
MMP09288099	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae		insdc.gca:GCA_003250075.1
MMP09288098	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030		insdc.gca:GCA_003250095.1
MMP09288097	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__SG8-41		insdc.gca:GCA_003250115.1
MMP09288096	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__SZUA-272;s__SZUA-272 sp003235325	gtdb:GCA_003235325.1	insdc.gca:GCA_003251155.1
MMP09288095	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__SZUA-547;s__SZUA-547 sp003250135	gtdb:GCA_003250135.1	insdc.gca:GCA_003250135.1
MMP09288094	d__Bacteria;p__Chloroflexota_A;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__UBA5189;s__UBA5189 sp003250155	gtdb:GCA_003250155.1	insdc.gca:GCA_003250155.1
MMP09288093	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__SZUA-545;g__SZUA-545;s__SZUA-545 sp003250175	gtdb:GCA_003250175.1	insdc.gca:GCA_003250175.1
MMP09288092	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-544;s__SZUA-544 sp003251175	gtdb:GCA_003251175.1	insdc.gca:GCA_003251175.1
MMP09288091	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10		insdc.gca:GCA_003250195.1
MMP09288090	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Malonomonas		insdc.gca:GCA_003250215.1
MMP09288089	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae		insdc.gca:GCA_003251195.1
MMP09288088	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__SZUA-540;g__SZUA-540;s__SZUA-540 sp003250235	gtdb:GCA_003250235.1	insdc.gca:GCA_003250235.1
MMP09288087	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfurifustis		insdc.gca:GCA_003250255.1
MMP09288086	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Alpha-05;s__Alpha-05 sp003250275	gtdb:GCA_003250275.1	insdc.gca:GCA_003250275.1
MMP09288085	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__UBA3361		insdc.gca:GCA_003250295.1
MMP09288084	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp003250325	gtdb:GCA_003250325.1	insdc.gca:GCA_003250325.1
MMP09288083	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus		insdc.gca:GCA_003250315.1
MMP09288082	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__SZUA-534;s__SZUA-534 sp003250355	gtdb:GCA_003250355.1	insdc.gca:GCA_003250355.1
MMP09288081	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__UBA12405;g__SZUA-533;s__SZUA-533 sp003250375	gtdb:GCA_003250375.1	insdc.gca:GCA_003250375.1
MMP09288080	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter		insdc.gca:GCA_003251205.1
MMP09288079	d__Bacteria;p__Deferrisomatota;c__Defferisomatia;o__Defferisomatales;f__BM512		insdc.gca:GCA_003251215.1
MMP09288078	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales		insdc.gca:GCA_003250405.1
MMP09288077	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170		insdc.gca:GCA_003251255.1
MMP09288076	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__TTA-H9;g__GWE2-42-24;s__GWE2-42-24 sp003250395	gtdb:GCA_003250395.1	insdc.gca:GCA_003250395.1
MMP09288075	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas		insdc.gca:GCA_003250435.1
MMP09288074	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__UBA11579;s__UBA11579 sp003250455	gtdb:GCA_003250455.1	insdc.gca:GCA_003250455.1
MMP09288073	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__SZUA-287;s__SZUA-287 sp003251275	gtdb:GCA_003251275.1	insdc.gca:GCA_003251275.1
MMP09288072	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__SR-FBR-E99;s__SR-FBR-E99 sp003250475	gtdb:GCA_003250475.1	insdc.gca:GCA_003250475.1
MMP09288071	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium;s__Marinobacterium sp003250495	gtdb:GCA_003250495.1	insdc.gca:GCA_003250495.1
MMP09288070	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia		insdc.gca:GCA_003250515.1
MMP09288069	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-521;s__SZUA-521 sp003248125	gtdb:GCA_003248125.1	insdc.gca:GCA_003251285.1
